"transaction_timestamp","symbol_id","bid_price","bid_size","ask_price","ask_size","price_decimal"
"2024-04-01 13:30:00.006422238",10407,932900,2600,933000,1300,4
"2024-04-01 13:30:00.006691603",10407,932900,2600,933000,1200,4
"2024-04-01 13:30:00.011213659",7614,9028700,800,9029900,100,4
"2024-04-01 13:30:00.012689188",7614,9028700,500,9029900,100,4
"2024-04-01 13:30:00.013027834",7614,9028700,500,9030000,300,4
"2024-04-01 13:30:00.013499540",7614,9029900,100,9030000,300,4
"2024-04-01 13:30:00.013510636",10407,932900,2600,933000,1000,4
"2024-04-01 13:30:00.013561243",7614,9028700,600,9030000,300,4
"2024-04-01 13:30:00.013739845",7614,9028700,500,9030000,300,4
"2024-04-01 13:30:00.014731685",10407,932900,2600,933000,1300,4
"2024-04-01 13:30:00.015160011",10407,932900,2600,933000,1200,4
"2024-04-01 13:30:00.015399281",10407,932900,2600,933000,1400,4
"2024-04-01 13:30:00.015823890",10407,932900,2600,933000,500,4
"2024-04-01 13:30:00.016153992",7614,9028700,600,9030000,300,4
"2024-04-01 13:30:00.021084995",7614,9028800,100,9030000,300,4
"2024-04-01 13:30:00.031092578",7614,9028800,100,9029900,100,4
"2024-04-01 13:30:00.031245198",7614,9028800,100,9030000,100,4
"2024-04-01 13:30:00.031245549",7614,9028800,100,9033800,100,4
"2024-04-01 13:30:00.031255330",7614,9028800,100,9034000,500,4
"2024-04-01 13:30:00.032993242",10407,932900,3000,933000,500,4
"2024-04-01 13:30:00.033158351",10407,932900,3000,933000,1400,4
"2024-04-01 13:30:00.045950721",10407,932900,3000,933000,1500,4
"2024-04-01 13:30:00.046017191",10407,932900,3000,933000,2400,4
"2024-04-01 13:30:00.047451433",7614,9028700,600,9034000,500,4
"2024-04-01 13:30:00.056727225",7614,9028700,600,9036000,1000,4
"2024-04-01 13:30:00.058867897",7614,9028700,600,9037000,100,4
"2024-04-01 13:30:00.070860843",10407,932900,3000,933000,2300,4
"2024-04-01 13:30:00.081981633",10407,932900,3000,933000,2000,4
"2024-04-01 13:30:00.086873495",7614,9028700,200,9037000,100,4
"2024-04-01 13:30:00.086981227",7614,9028700,100,9037000,100,4
"2024-04-01 13:30:00.086981227",7614,9024200,100,9037000,100,4
"2024-04-01 13:30:00.087022070",7614,9024200,100,9036100,100,4
"2024-04-01 13:30:00.087492971",7614,9025000,200,9036100,100,4
"2024-04-01 13:30:00.088002264",7614,9025000,200,9037000,100,4
"2024-04-01 13:30:00.110538839",10407,932900,2900,933000,2000,4
"2024-04-01 13:30:00.110630421",10407,932900,2300,933000,2000,4
"2024-04-01 13:30:00.110760000",10407,932900,1800,933000,2000,4
"2024-04-01 13:30:00.110896978",10407,932900,2300,933000,2000,4
"2024-04-01 13:30:00.121381918",10407,932900,2400,933000,2000,4
"2024-04-01 13:30:00.122348294",10407,932900,2300,933000,2000,4
"2024-04-01 13:30:00.123542024",10407,932900,2300,933000,2100,4
"2024-04-01 13:46:48.217943984",2178,28900000,200,28974900,100,4
"2024-04-01 13:46:48.264912954",2178,28900100,100,28974900,100,4
"2024-04-01 13:46:48.309378853",2178,28900000,100,28974900,100,4
"2024-04-01 13:46:48.309451917",2178,28900100,400,28974900,100,4
"2024-04-01 13:46:48.309459492",2178,28900000,100,28974900,100,4
"2024-04-01 13:46:48.343248603",2178,28900000,200,28974900,100,4
"2024-04-01 13:46:48.446286000",7614,9182800,100,9187300,100,4
"2024-04-01 13:46:48.607222193",10407,931400,10600,931500,14400,4
"2024-04-01 13:46:48.609086332",10407,931400,10000,931500,14400,4
"2024-04-01 13:46:48.610258320",10407,931400,9500,931500,14400,4
"2024-04-01 13:46:48.704904748",10407,931400,9500,931500,14200,4
"2024-04-01 13:46:48.737796000",7614,9184500,1500,9187300,100,4
"2024-04-01 13:46:48.738432000",7614,9187200,100,9188000,200,4
"2024-04-01 13:46:48.738460171",7614,9184500,1500,9187300,100,4
"2024-04-01 13:46:48.738485545",7614,9187200,100,9187300,100,4
"2024-04-01 13:46:48.738713000",7614,9187300,100,9188000,100,4
"2024-04-01 13:46:48.738721911",7614,9187300,100,9188000,200,4
