trade_exchange_code,symbol_id,trade_size,trade_price,trade_timestamp,bid_size,ask_size,quote_timestamp,bid,ask
P,7614,18,900.0200000000001,2024-04-01 16:47:10.576279109,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,1,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,5,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,2,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,37,900.0,2024-04-01 16:47:10.576413028,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,21,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,100,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,5,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,10,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,8,900.0,2024-04-01 16:47:10.576539560,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
S,7614,10,900.0,2024-04-01 16:47:10.576551249,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
S,7614,25,900.0,2024-04-01 16:47:10.576551249,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,136,900.0,2024-04-01 16:47:10.576676000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
